80 1 80 79 469
80 2 159 130 464
80 3 237 159 474
80 4 314 184 469
80 5 390 222 485
80 6 465 232 494
80 7 539 242 475
80 8 612 260 486
80 9 684 274 505
80 10 755 295 501
80 11 825 294 502
80 12 894 310 506
80 13 962 330 526
80 14 1029 334 535
80 15 1095 336 539
80 16 1160 348 543
80 17 1224 353 538
80 18 1287 362 537
80 19 1349 375 549
80 20 1410 388 554
80 21 1470 391 541
80 22 1529 413 547
80 23 1587 421 567
80 24 1644 424 571
80 25 1700 423 559
80 26 1755 432 574
80 27 1809 440 589
80 28 1862 443 592
80 29 1914 446 590
80 30 1965 459 596
80 31 2015 458 600
80 32 2064 471 603
80 33 2112 472 609
80 34 2159 487 628
80 35 2205 489 626
80 36 2250 507 631
80 37 2294 507 627
80 38 2337 514 647
80 39 2379 512 647
80 40 2420 525 651
80 41 2460 530 659
80 42 2499 538 661
80 43 2537 542 673
80 44 2574 555 678
80 45 2610 549 683
80 46 2645 564 666
80 47 2679 570 682
80 48 2712 570 687
80 49 2744 580 708
80 50 2775 588 705
80 51 2805 586 706
80 52 2834 603 729
80 53 2862 604 724
80 54 2889 611 732
80 55 2915 617 733
80 56 2940 626 753
80 57 2964 629 748
80 58 2987 638 770
80 59 3009 628 755
80 60 3030 645 771
80 61 3050 647 777
80 62 3069 657 781
80 63 3087 665 796
80 64 3104 661 790
80 65 3120 667 797
80 66 3135 682 813
80 67 3149 687 807
80 68 3162 694 821
80 69 3174 697 842
80 70 3185 710 840
80 71 3195 711 844
80 72 3204 726 851
80 73 3212 725 842
80 74 3219 736 864
80 75 3225 747 880
80 76 3230 731 857
80 77 3234 753 887
80 78 3237 753 881
80 79 3239 750 873
80 80 3240 770 907
