60 1 60 59 283
60 2 119 117 342
60 3 177 119 325
60 4 234 125 346
60 5 290 162 345
60 6 345 179 350
60 7 399 182 355
60 8 452 196 353
60 9 504 222 355
60 10 555 229 362
60 11 605 220 365
60 12 654 232 361
60 13 702 249 374
60 14 749 250 372
60 15 795 255 383
60 16 840 266 386
60 17 884 280 387
60 18 927 276 388
60 19 969 300 405
60 20 1010 304 404
60 21 1050 305 405
60 22 1089 314 399
60 23 1127 322 418
60 24 1164 319 422
60 25 1200 336 430
60 26 1235 333 428
60 27 1269 341 437
60 28 1302 346 438
60 29 1334 356 453
60 30 1365 356 456
60 31 1395 358 452
60 32 1424 367 465
60 33 1452 372 476
60 34 1479 379 467
60 35 1505 379 473
60 36 1530 395 480
60 37 1554 402 491
60 38 1577 397 493
60 39 1599 413 495
60 40 1620 408 494
60 41 1640 427 510
60 42 1659 432 511
60 43 1677 433 524
60 44 1694 442 528
60 45 1710 433 524
60 46 1725 440 533
60 47 1739 465 549
60 48 1752 462 556
60 49 1764 466 554
60 50 1775 470 553
60 51 1785 472 564
60 52 1794 482 567
60 53 1802 485 580
60 54 1809 492 593
60 55 1815 495 598
60 56 1820 505 602
60 57 1824 508 605
60 58 1827 516 601
60 59 1829 521 623
60 60 1830 526 623
