40 1 40 39 187
40 2 79 76 205
40 3 117 78 203
40 4 154 87 191
40 5 190 111 207
40 6 225 118 215
40 7 259 123 211
40 8 292 129 208
40 9 324 150 230
40 10 355 149 226
40 11 385 155 227
40 12 414 160 231
40 13 442 169 233
40 14 469 172 237
40 15 495 174 245
40 16 520 184 244
40 17 544 191 257
40 18 567 196 255
40 19 589 202 267
40 20 610 212 271
40 21 630 215 271
40 22 649 218 282
40 23 667 227 283
40 24 684 230 291
40 25 700 233 296
40 26 715 237 290
40 27 729 241 300
40 28 742 249 313
40 29 754 249 310
40 30 765 253 316
40 31 775 262 322
40 32 784 265 327
40 33 792 267 319
40 34 799 278 333
40 35 805 281 344
40 36 810 289 352
40 37 814 291 348
40 38 817 299 364
40 39 819 306 366
40 40 820 307 371
