1 1 1 1
2 7 7 7
3 11 14 8
4 31 15 15
5 26 22 22
6 40 30 24
7 48 32 26
8 59 46 34
9 72 53 42
10 92 51 50
11 99 55 58
12 105 86 61
13 132 66 64
14 123 82 67
15 152 94 70
16 174 96 79
17 162 117 88
18 163 118 97
19 221 122 106
20 209 135 115
21 220 174 124
22 233 153 133
23 274 187 142
24 271 168 146
25 307 171 150
26 300 196 154
27 334 177 158
28 354 232 162
29 349 216 166
30 351 230 170
31 387 228 174
32 420 283 184
33 414 251 194
34 416 240 204
35 430 256 214
36 484 295 224
37 474 283 234
38 493 298 244
39 519 311 254
40 557 292 264
41 576 319 274
42 570 331 284
43 566 351 294
44 599 350 304
45 628 372 314
46 595 402 324
47 645 369 334
48 668 397 339
49 656 450 344
50 715 393 349
51 771 409 354
52 727 440 359
53 739 492 364
54 818 479 369
55 783 516 374
56 804 477 379
57 938 477 384
58 860 466 389
59 860 467 394
60 890 503 399
61 883 507 404
62 1016 566 409
63 975 540 414
64 922 535 425
65 972 625 436
66 983 552 447
67 971 630 458
68 1005 605 469
69 1018 590 480
70 1061 669 491
71 1042 623 502
72 1151 626 513
73 1125 596 524
74 1156 659 535
75 1128 661 546
76 1170 723 557
77 1203 893 568
78 1234 690 579
79 1287 729 590
80 1262 807 601
81 1338 775 612
82 1281 789 623
83 1283 771 634
84 1378 840 645
85 1328 767 656
86 1452 883 667
87 1289 947 678
88 1389 802 689
89 1372 823 700
90 1455 925 711
91 1522 832 722
92 1531 889 733
93 1543 966 744
94 1538 1019 755
95 1617 951 766
96 1571 926 772
97 1592 1036 778
98 1656 914 784
99 1599 937 790
100 1666 941 796
